arrangement,method,mean_position_error,mean_angular_error,combined_error,max_position_error,max_angular_error,order,signs
"[qx,qz,qw,qy]_signs+,+,-,+",Random Forest,0.003836336780622416,1.9506983666830702,0.19890617344892944,0.01785391874963136,12.984393989439715,"[0, 2, 3, 1]","[1, 1, -1, 1]"
"[qw,qz,qx,qy]_signs-,+,+,-",Random Forest,0.003842403499980088,1.9513229126781177,0.19897469476779187,0.017723393887077485,13.036349836802525,"[3, 2, 0, 1]","[-1, 1, 1, -1]"
"[qx,qw,qz,qy]_signs+,-,+,+",Random Forest,0.0038357341322618546,1.952068744036246,0.19904260853588646,0.017899213781831742,12.827072789459459,"[0, 3, 2, 1]","[1, -1, 1, 1]"
"[qz,qy,qw,qx]_signs+,+,-,-",Random Forest,0.0038632875763384973,1.953037814311312,0.19916706900746972,0.01786038992724132,13.140929797441927,"[2, 1, 3, 0]","[1, 1, -1, -1]"
"[qz,qw,qy,qx]_signs+,-,+,+",Random Forest,0.0038228871716368034,1.9536451633784915,0.19918740350948597,0.01798196579532636,13.408298583092993,"[2, 3, 1, 0]","[1, -1, 1, 1]"
"[qz,qw,qy,qx]_signs+,+,-,+",Random Forest,0.003828146773323805,1.953840706150966,0.1992122173884204,0.01777405682904346,12.986384590583098,"[2, 3, 1, 0]","[1, 1, -1, 1]"
"[qy,qw,qz,qx]_signs+,+,-,-",Random Forest,0.003867984159137248,1.954185483238506,0.19928653248298786,0.017723647465268336,12.707155085230852,"[1, 3, 2, 0]","[1, 1, -1, -1]"
"[qy,qx,qz,qw]_signs+,-,-,+",Random Forest,0.00387022286440834,1.954356002902937,0.19930582315470205,0.018084108051492506,13.42913943413676,"[1, 0, 2, 3]","[1, -1, -1, 1]"
"[qz,qy,qx,qw]_signs+,+,+,-",Random Forest,0.0038701160039498576,1.954567125111958,0.19932682851514566,0.01775112963334803,12.785775145220734,"[2, 1, 0, 3]","[1, 1, 1, -1]"
"[qx,qw,qz,qy]_signs+,-,-,+",Random Forest,0.0038569251599829073,1.9555200584348815,0.19940893100347107,0.017781983427790426,13.093346677070311,"[0, 3, 2, 1]","[1, -1, -1, 1]"
"[qz,qx,qy,qw]_signs+,+,+,-",Random Forest,0.0038449939443210212,1.9557027751332194,0.19941527145764298,0.017896340085882728,13.29561467037725,"[2, 0, 1, 3]","[1, 1, 1, -1]"
"[qx,qy,qz,qw]_signs+,+,+,-",Random Forest,0.0038705116883333774,1.9554671265110852,0.19941722433944192,0.017936451680638343,12.68668786727277,"[0, 1, 2, 3]","[1, 1, 1, -1]"
"[qz,qw,qx,qy]_signs+,-,+,+",Random Forest,0.003830943550531418,1.955897486320052,0.19942069218253664,0.01771683777661074,13.877279867325685,"[2, 3, 0, 1]","[1, -1, 1, 1]"
"[qx,qw,qy,qz]_signs+,-,-,+",Random Forest,0.003854685389260906,1.9560227011444347,0.19945695550370438,0.017742829050447797,13.409747278102802,"[0, 3, 1, 2]","[1, -1, -1, 1]"
"[qx,qw,qy,qz]_signs-,+,-,-",Random Forest,0.0038311096123460364,1.9565041993089045,0.1994815295432365,0.018316915998254343,13.005833931699065,"[0, 3, 1, 2]","[-1, 1, -1, -1]"
